,class,tax_order,family,genus,species,gen_spec
160,Actinopterygii,Perciformes,Sciaenidae,Sciaenops,ocellatus,Sciaenops ocellatus
161,Actinopterygii,Perciformes,Centrarchidae,Lates,calcarifer,Lates calcarifer
162,Actinopterygii,Mugiliformes,Mugilidae,Liza,parsia,Liza parsia
163,Actinopterygii,Perciformes,Kyphosidae,Girella,punctata,Girella punctata
164,Actinopterygii,Perciformes,Sparidae,Diplodus,sargus,Diplodus sargus
165,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,yokohamae,Pseudopleuronectes yokohamae
166,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,parrah,Puntius parrah
167,Actinopterygii,Cypriniformes,Cyprinidae,Nuria,danrica,Nuria danrica
168,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,Coregonus clupeaformis
169,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata
170,Actinopterygii,Perciformes,Osphronemidae,Colisa,lalia,Colisa lalia
171,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,amarus,Hybognathus amarus
172,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,helleri,Xiphophorus helleri
173,Actinopterygii,Perciformes,Gobiidae,Chasmichthys,dolichognathus,Chasmichthys dolichognathus
174,Actinopterygii,Cypriniformes,Cyprinidae,Erimonax,monachus,Erimonax monachus
175,Actinopterygii,Perciformes,Kuhliidae,Kuhlia,sandvicensis,Kuhlia sandvicensis
176,Actinopterygii,Siluriformes,Siluridae,Silurus,glanis,Silurus glanis
177,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,anoplus,Barbus anoplus
178,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,stellatus,Acipenser stellatus
179,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,Ameiurus melas
180,Actinopterygii,Gasterosteiformes,Gasterosteidae,Culaea,inconstans,Culaea inconstans
181,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,arulius,Barbus arulius
182,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,sophore,Puntius sophore
183,Actinopterygii,Perciformes,Centrarchidae,Lepomis,microlophus,Lepomis microlophus
